major_name,college_id,created_at,updated_at
기계시스템디자인공학과,1,-,-
기계자동차공학과,1,-,-
안전공학과,1,-,-
신소재공학과,1,-,-
건설시스템공학과,1,-,-
건축학부(건축공학전공),1,-,-
건축학부(건축학전공),1,-,-
건축산업학과,1,-,-
기계설비공학과,1,-,-
시설물유지관리공학과,1,-,-
플랜트엔지니어링학과,1,-,-
건축환경설비공학과,1,-,-
전기정보공학과,2,-,-
전자IT미디어공학과,2,-,-
컴퓨터공학과,2,-,-
화공생명공학과,3,-,-
환경공학과,3,-,-
식품공학과,3,-,-
정밀화학과,3,-,-
스포츠과학과,3,-,-
안경광학과,3,-,-
디자인학과,4,-,-
도예학과,4,-,-
금속공예학과,4,-,-
조형예술학과,4,-,-
시각문화융합디자인학과,4,-,-
행정학과,5,-,-
영어영문학과,5,-,-
문예창작학과,5,-,-
기초교육학부,5,-,-
산업정보시스템전공,6,-,-
MSDE전공,6,-,-
ITM전공,6,-,-
경영학전공,6,-,-
글로벌테크노경영전공,6,-,-
융합기계공학과,7,-,-
건설환경융학공학과,7,-,-
웰니스융합학과,7,-,-
문화예술비지니스학과,7,-,-
영미문화콘텐츠학과,7,-,-
벤처경영학과,7,-,-
국어국문학과,8,-,-
영어영문학과,8,-,-
불어불문학과,8,-,-
독어독문학과,8,-,-
중어중문학과,8,-,-
일어일문학과,8,-,-
사학과,8,-,-
기독교학과,8,-,-
경제학과,9,-,-
문헌정보학과,9,-,-
사회복지학과,9,-,-
아동학과,9,-,-
행동학과,9,-,-
언론영상학부,9,-,-
교육심리학과,9,-,-
체육학과,9,-,-
수학과,10,-,-
화학생명환경과학부,10,-,-
원예생명조경학과,10,-,-
식품응용시스템학부,10,-,-
경영학과,11,-,-
패션산업학과,11,-,-
디지털미디어학과,11,-,-
정보보호학과,11,-,-
소프트웨어융합학과,11,-,-
산업디자인학과,11,-,-
컴퓨터학과,11,-,-
콘텐츠디자인학과,11,-,-
현대미술전공,12,-,-
공예전공,12,-,-
시각디자인전공,12,-,-
자율전공학부,13,-,-
문예창작전공,14,-,-
박물관학전공,14,-,-
국제학전공,14,-,-
청소년학전공,14,-,-
휴먼서비스전공,14,-,-
글로벌문화산업MICE전공,14,-,-
공공안전전공,14,-,-
도시환경예술디자인전공,14,-,-
디지털융합경영전공,14,-,-
데이터과학전공,14,-,-
스마트헬스케어전공,14,-,-
기업보안융합전공,14,-,-
바이오화장품공학전공,14,-,-
ICT경영스마트농업공학전공,14,-,-
바이오인포매틱스전공,14,-,-
